"ICT-gebruik bij bedrijven; bedrijfsgrootte, 2015"
"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Onderwerpen_5";"Bedrijfsgrootte";"10 of meer werkzame personen";"10 tot 20 werkzame personen";"20 tot 50 werkzame personen";"50 tot 100 werkzame personen";"100 tot 250 werkzame personen";"250 tot 500 werkzame personen";"500 of meer werkzame personen"
"Personeel en ICT";"Personeel dat werkt met een computer";"Personeel dat werkt met een computer";"Personeel dat werkt met een computer";"Personeel dat werkt met een computer";"% van werkzame personen";"71";"63";"65";"65";"68";"71";"75"
"Personeel en ICT";"Personeel dat werkt met internet";"Personeel dat werkt met internet";"Personeel dat werkt met internet";"Personeel dat werkt met internet";"% van werkzame personen";"66";"60";"60";"61";"64";"64";"70"
"Personeel en ICT";"Personeel dat werkt met mobiel internet";"Personeel dat werkt met mobiel internet";"Personeel dat werkt met mobiel internet";"Personeel dat werkt met mobiel internet";"% van werkzame personen";"28";"23";"24";"24";"26";"26";"31"
"Personeel en ICT";"Telewerkers";"Telewerkers";"Telewerkers";"Telewerkers";"% van werkzame personen";"26";"22";"23";"23";"26";"27";"29"
"Personeel en ICT";"Telewerk komt voor";"Telewerk komt voor";"Telewerk komt voor";"Telewerk komt voor";"% van bedrijven";"74";"65";"78";"88";"93";"95";"96"
"Personeel en ICT";"ICT-pers. aangenomen/willen aannemen";"ICT-pers. aangenomen/willen aannemen";"ICT-pers. aangenomen/willen aannemen";"ICT-pers. aangenomen/willen aannemen";"% van bedrijven";"9";"5";"7";"11";"19";"33";"49"
"Personeel en ICT";"ICT-vacatures lastig te vervullen";"ICT-vacatures lastig te vervullen";"ICT-vacatures lastig te vervullen";"ICT-vacatures lastig te vervullen";"% van bedrijven";"4";"3";"4";"5";"10";"15";"27"
"Personeel en ICT";"ICT-cursus aan ICT-specialisten";"ICT-cursus aan ICT-specialisten";"ICT-cursus aan ICT-specialisten";"ICT-cursus aan ICT-specialisten";"% van bedrijven";"14";"5";"13";"26";"40";"58";"74"
"Personeel en ICT";"ICT-cursus aan overig personeel";"ICT-cursus aan overig personeel";"ICT-cursus aan overig personeel";"ICT-cursus aan overig personeel";"% van bedrijven";"10";"5";"10";"14";"23";"34";"40"
"Personeel en ICT";"Type ICT-werkzaamheden";"Onderhoud van ICT-infrastructuur";"Voorn. uitg. door eigen personeel";"Voorn. uitg. door eigen personeel";"% van bedrijven";"29";"22";"28";"36";"49";"56";"60"
"Personeel en ICT";"Type ICT-werkzaamheden";"Onderhoud van ICT-infrastructuur";"Voorn. uitg. door externe leveranciers";"Voorn. uitg. door externe leveranciers";"% van bedrijven";"63";"66";"67";"60";"47";"41";"38"
"Personeel en ICT";"Type ICT-werkzaamheden";"Onderhoud van ICT-infrastructuur";"Niet van toepassing";"Niet van toepassing";"% van bedrijven";"8";"12";"5";"4";"3";"3";"2"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ondersteuning van office software";"Voorn. uitg. door eigen personeel";"Voorn. uitg. door eigen personeel";"% van bedrijven";"42";"35";"43";"54";"65";"72";"71"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ondersteuning van office software";"Voorn. uitg. door externe leveranciers";"Voorn. uitg. door externe leveranciers";"% van bedrijven";"43";"46";"46";"39";"29";"24";"23"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ondersteuning van office software";"Niet van toepassing";"Niet van toepassing";"% van bedrijven";"14";"19";"11";"7";"7";"4";"6"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ontwerp/ontwikkeling bedrijfsv.software ";"Voorn. uitg. door eigen personeel";"Voorn. uitg. door eigen personeel";"% van bedrijven";"17";"13";"17";"21";"28";"33";"30"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ontwerp/ontwikkeling bedrijfsv.software ";"Voorn. uitg. door externe leveranciers";"Voorn. uitg. door externe leveranciers";"% van bedrijven";"53";"49";"55";"59";"56";"56";"58"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ontwerp/ontwikkeling bedrijfsv.software ";"Niet van toepassing";"Niet van toepassing";"% van bedrijven";"31";"39";"28";"20";"16";"11";"12"
"Personeel en ICT";"Type ICT-werkzaamheden";"Ondersteuning bedrijfsvoeringssoftware";"Voorn. uitg. door eigen personeel";"Voorn. uitg. door eigen personeel";"% van bedrijven";"22";"15";"22";"32";"44";"51";"58"
