"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"2","Keuze huisbankier","3","0","3","3","6","3","6","6","6","6","6","6","6","6","6","3","5","6","3","3","3"
"3","Opname bank","0","0","0","0","0","0","20.000.000","0","0","60.000.000","0","0","0","65.000.000","0","10.000.000","0","0","0","6.750.000","0"
"4","Opname deposito","0","0","0","5.000.000","0","0","0","0","0","0","0","0","0","65.000.000","0","0","0","10.000.000","0","0","0"
"5","Opname krediet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Aflossing krediet","0","0","16.000.000","0","0","3.500.000","20.000.000","20.000.000","0","60.000.000","0","0","0","65.000.000","20.000.000","60.000.000","99.000.000","0","0","6.750.000","9.500.000"
"7","Inleg deposito","15.000.000","0","0","0","99.000.000","250.000","0","0","0","0","0","0","0","99.000.000","0","0","0","0","0","1.000.000","0"
"8","NEDERLAND_ACTIEF","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","POLEN_ACTIEF","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10","MEXICO_ACTIEF","0","0","0","0","1","1","1","1","0","1","1","1","0","1","0","0","0","1","0","1","0"
"11","INDIA_ACTIEF","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0"
"12","BIZZBOOK_NEDERLAND_ACTIEF","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","BIZZBOOK_POLEN_ACTIEF","0","0","1","1","0","0","1","0","1","1","1","0","1","0","0","1","1","0","0","1","1"
"14","BIZZBOOK_MEXICO_ACTIEF","0","0","0","0","1","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0"
"15","BIZZBOOK_INDIA_ACTIEF","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"16","NETBOOK_NEDERLAND_ACTIEF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","NETBOOK_POLEN_ACTIEF","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","1","1","1"
"18","NETBOOK_MEXICO_ACTIEF","0","0","0","0","0","1","1","1","0","1","1","1","0","1","0","0","0","1","0","1","0"
"19","NETBOOK_INDIA_ACTIEF","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0"
"20","ECOBOOK_NEDERLAND_ACTIEF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","ECOBOOK_POLEN_ACTIEF","1","0","1","1","0","1","1","1","0","1","1","1","0","1","1","0","0","1","1","1","1"
"22","ECOBOOK_MEXICO_ACTIEF","0","0","0","0","1","0","0","0","0","1","1","1","0","1","0","0","0","1","0","1","0"
"23","ECOBOOK_INDIA_ACTIEF","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0"
"24","EUROPA_ACTIEF","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"25","AMERIKA_ACTIEF","1","0","1","0","1","1","1","1","0","1","1","1","0","1","1","0","1","1","0","1","0"
"26","AZIE_ACTIEF","1","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","1","0","1","0","1"
"27","BIZZBOOK_EUROPA_ACTIEF","0","1","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1","0","0","1","1"
"28","BIZZBOOK_AMERIKA_ACTIEF","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0"
"29","BIZZBOOK_AZIE_ACTIEF","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1"
"30","NETBOOK_EUROPA_ACTIEF","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","1"
"31","NETBOOK_AMERIKA_ACTIEF","1","0","0","0","0","1","1","1","0","1","1","1","0","1","0","0","0","1","0","1","0"
"32","NETBOOK_AZIE_ACTIEF","1","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1"
"33","ECOBOOK_EUROPA_ACTIEF","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","0","0","1","1","1","1"
"34","ECOBOOK_AMERIKA_ACTIEF","1","0","1","0","1","1","1","0","0","1","1","1","0","1","1","0","0","1","0","1","0"
"35","ECOBOOK_AZIE_ACTIEF","1","0","0","1","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0"
"36","BIZZBOOK_EUROPA_DETAILHANDEL_ACTIEF","0","1","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1","0","0","1","1"
"37","BIZZBOOK_AMERIKA_DETAILHANDEL_ACTIEF","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0"
"38","BIZZBOOK_AZIE_DETAILHANDEL_ACTIEF","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1"
"39","BIZZBOOK_EUROPA_GROOTHANDEL_ACTIEF","0","1","1","1","0","1","0","0","1","1","1","0","1","0","0","1","1","0","0","0","1"
"40","BIZZBOOK_AMERIKA_GROOTHANDEL_ACTIEF","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0"
"41","BIZZBOOK_AZIE_GROOTHANDEL_ACTIEF","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1"
"42","BIZZBOOK_EUROPA_VERKOOPKANTOOR_ACTIEF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","BIZZBOOK_AMERIKA_VERKOOPKANTOOR_ACTIEF","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"44","BIZZBOOK_AZIE_VERKOOPKANTOOR_ACTIEF","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"45","NETBOOK_EUROPA_DETAILHANDEL_ACTIEF","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","1"
"46","NETBOOK_AMERIKA_DETAILHANDEL_ACTIEF","1","0","0","0","0","1","1","1","0","1","1","1","0","1","0","0","0","1","0","1","0"
"47","NETBOOK_AZIE_DETAILHANDEL_ACTIEF","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1"
"48","NETBOOK_EUROPA_GROOTHANDEL_ACTIEF","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","1"
"49","NETBOOK_AMERIKA_GROOTHANDEL_ACTIEF","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0"
"50","NETBOOK_AZIE_GROOTHANDEL_ACTIEF","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1"
"51","NETBOOK_EUROPA_VERKOOPKANTOOR_ACTIEF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","NETBOOK_AMERIKA_VERKOOPKANTOOR_ACTIEF","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0"
"53","NETBOOK_AZIE_VERKOOPKANTOOR_ACTIEF","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1"
"54","ECOBOOK_EUROPA_DETAILHANDEL_ACTIEF","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","0","0","1","1","1","1"
"55","ECOBOOK_AMERIKA_DETAILHANDEL_ACTIEF","1","0","1","0","1","1","1","0","0","0","1","1","0","1","1","0","0","1","0","1","0"
"56","ECOBOOK_AZIE_DETAILHANDEL_ACTIEF","1","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"57","ECOBOOK_EUROPA_GROOTHANDEL_ACTIEF","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","0","0","1","0","1","1"
"58","ECOBOOK_AMERIKA_GROOTHANDEL_ACTIEF","0","0","1","0","1","1","1","0","0","0","0","1","0","1","1","0","0","1","0","1","0"
"59","ECOBOOK_AZIE_GROOTHANDEL_ACTIEF","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0"
"60","ECOBOOK_EUROPA_VERKOOPKANTOOR_ACTIEF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","ECOBOOK_AMERIKA_VERKOOPKANTOOR_ACTIEF","1","0","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","0","0"
"62","ECOBOOK_AZIE_VERKOOPKANTOOR_ACTIEF","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"63","Fte's uitzendkrachten","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Fte's uitzendkrachten","1.435","0","1.320","2.500","170","1.250","1.220","200","200","500","1.400","765","260","2.500","1.350","610","1.805","1.355","1.920","1.160","1.630"
"65","Fte's uitzendkrachten","565","0","0","0","2.500","1.910","410","630","0","490","1.500","2.390","0","2.500","0","75","0","2.500","0","1.535","0"
"66","Fte's uitzendkrachten","0","0","0","1.920","0","0","0","0","795","1.280","0","0","575","2.500","0","1.255","0","0","0","0","0"
"67","Uurloon uitzendkrachten","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","Uurloon uitzendkrachten","14","0","17","15","20","17","12","15","15","14","17","20","18","19","16","17","16","15","17","18","18"
"69","Uurloon uitzendkrachten","7","0","0","0","20","15","10","14","0","12","15","18","0","19","0","8","0","14","0","13","0"
"70","Uurloon uitzendkrachten","0","0","0","15","0","0","0","0","15","9","0","0","8","19","0","4","0","0","0","0","0"
"71","Geplande productie in Nederland","0","80.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Geplande productie in Polen","150.000","0","280.000","800.000","150.000","100.000","510.000","92.000","240.000","220.000","500.000","96.000","310.000","10.000","100.000","500.000","320.000","80.000","116.000","350.000","360.000"
"73","Geplande productie in Mexico","0","0","0","0","600.000","450.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Geplande productie in India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Geplande productie in Nederland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Geplande productie in Polen","150.000","0","480.000","0","0","300.000","0","0","0","0","0","0","0","0","0","0","740.000","0","0","0","0"
"77","Geplande productie in Mexico","300.000","0","0","0","700.000","700.000","0","450.000","0","0","650.000","680.000","0","0","0","0","0","1.000.000","0","630.000","0"
"78","Geplande productie in India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Geplande productie in Nederland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Geplande productie in Polen","300.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","970.000","0","0","0","600.000"
"81","Geplande productie in Mexico","0","0","0","0","800.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Geplande productie in India","0","0","0","1.800.000","0","0","0","0","180.000","800.000","0","0","550.000","0","0","0","0","0","0","0","0"
"83","Geplande productie in Nederland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Geplande productie in Polen","330.000","0","0","660.000","0","0","0","0","0","0","600.000","850.000","0","1.600.000","200.000","230.000","0","1.130.000","0","610.000","280.000"
"85","Geplande productie in Mexico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Geplande productie in India","0","0","0","0","0","0","0","0","300.000","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Geplande productie in Nederland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Geplande productie in Polen","320.000","0","0","0","0","0","0","0","0","0","600.000","0","0","0","400.000","0","0","0","0","0","0"
"89","Geplande productie in Mexico","400.000","0","0","0","0","1.200.000","530.000","330.000","0","400.000","0","1.410.000","0","2.550.000","0","90.000","0","1.100.000","0","760.000","0"
"90","Geplande productie in India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Geplande productie in Nederland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Geplande productie in Polen","300.000","0","0","230.000","0","0","0","0","0","0","0","0","0","0","300.000","0","0","0","2.200.000","0","420.000"
"93","Geplande productie in Mexico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Geplande productie in India","0","0","0","780.000","0","0","0","0","430.000","700.000","0","0","0","3.100.000","0","1.470.000","0","0","0","0","0"
